ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
DOID:1936	atherosclerosis	8/22	364/10312	4.62584373264737e-07	8.95130438780683e-05	6.01643011206569e-05	S100A9/SOCS3/ADM/MERTK/PPARG/CD163/HP/NRG1	8
DOID:2348	arteriosclerotic cardiovascular disease	8/22	365/10312	4.72364347641521e-07	8.95130438780683e-05	6.01643011206569e-05	S100A9/SOCS3/ADM/MERTK/PPARG/CD163/HP/NRG1	8
DOID:2349	arteriosclerosis	8/22	411/10312	1.16314459805144e-06	0.000146943934220499	9.87652606064734e-05	S100A9/SOCS3/ADM/MERTK/PPARG/CD163/HP/NRG1	8
DOID:399	tuberculosis	6/22	201/10312	2.92728167735066e-06	0.000277359938928975	0.000186421622610226	SOCS3/PPARG/FCGR1A/CD163/HP/NRG1	6
DOID:75	lymphatic system disease	5/22	121/10312	4.59559241045917e-06	0.000348345904712805	0.000234133339648657	S100A9/SOCS3/ADM/CD163/HP	5
DOID:104	bacterial infectious disease	7/22	359/10312	6.34354163210737e-06	0.000400700379761449	0.000269322293854383	SOCS3/ADM/PPARG/FCGR1A/CD163/HP/NRG1	7
DOID:1602	lymphadenitis	4/22	70/10312	1.2987562874401e-05	0.000590058491382536	0.000396595347631089	S100A9/SOCS3/ADM/HP	4
DOID:9942	lymph node disease	4/22	70/10312	1.2987562874401e-05	0.000590058491382536	0.000396595347631089	S100A9/SOCS3/ADM/HP	4
DOID:0060056	hypersensitivity reaction disease	5/22	152/10312	1.40119430671315e-05	0.000590058491382536	0.000396595347631089	S100A9/ADM/TCN2/PPARG/HP	5
DOID:0050338	primary bacterial infectious disease	6/22	295/10312	2.64001547798158e-05	0.00100056586615502	0.000672509205970044	SOCS3/PPARG/FCGR1A/CD163/HP/NRG1	6
DOID:10591	pre-eclampsia	6/22	309/10312	3.4293125851574e-05	0.0011815540634315	0.00079415659866803	AQP9/SOCS3/DYSF/ADM/PPARG/HP	6
DOID:12365	malaria	4/22	125/10312	0.000127097202852087	0.00401415332341174	0.00269802834124605	TCN2/CD163/HP/NRG1	4
DOID:2916	hypersensitivity reaction type IV disease	4/22	130/10312	0.000147925396448471	0.00431259425030542	0.00289861910449636	S100A9/TCN2/PPARG/HP	4
DOID:5295	intestinal disease	6/22	417/10312	0.000181168934218042	0.00482270950543888	0.00324148229500405	AQP9/SOCS3/PPARG/CD163/HP/NRG1	6
DOID:229	female reproductive system disease	6/22	421/10312	0.000190872407866974	0.00482270950543888	0.00324148229500405	AQP9/SOCS3/ADM/PPARG/KLRD1/KLRC1	6
DOID:5844	myocardial infarction	6/22	453/10312	0.000284309621513412	0.00673458415959894	0.00452650844777932	S100A9/ADM/PPARG/CD163/HP/NRG1	6
DOID:13378	Kawasaki disease	3/22	66/10312	0.000353531269148135	0.00788166770630253	0.00529749641695657	S100A9/ADM/HP	3
DOID:2789	parasitic protozoa infectious disease	4/22	178/10312	0.000492276930749299	0.0103651642641102	0.00696672615446376	TCN2/CD163/HP/NRG1	4
DOID:2018	hyperinsulinism	3/22	76/10312	0.000535668940591888	0.0106851857097014	0.00718182180738155	ADM/PPARG/HP	3
DOID:11612	polycystic ovary syndrome	4/22	188/10312	0.000605141340178889	0.0114674283963899	0.00770758970122585	AQP9/SOCS3/ADM/PPARG	4
DOID:1414	ovarian dysfunction	4/22	199/10312	0.000749393605394091	0.0135247703068743	0.0090903885967604	AQP9/SOCS3/ADM/PPARG	4
DOID:1074	kidney failure	5/22	360/10312	0.000812810074902888	0.014002500835827	0.00941148507782291	S100A9/MERTK/PPARG/CD163/HP	5
DOID:1398	parasitic infectious disease	4/22	208/10312	0.00088437971505387	0.0145730396524094	0.00979496068846849	TCN2/CD163/HP/NRG1	4
