ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002706	regulation of lymphocyte mediated immunity	6/27	179/18903	1.66360744563594e-07	0.000151127760113844	9.69562028874413e-05	KLRD1/FCGR1A/KLRC1/KLRC4/KLRC3/CLC	6
BP	GO:0042269	regulation of natural killer cell mediated cytotoxicity	4/27	47/18903	5.64444467639168e-07	0.000151127760113844	9.69562028874413e-05	KLRD1/KLRC1/KLRC4/KLRC3	4
BP	GO:0002697	regulation of immune effector process	7/27	379/18903	7.74254446309718e-07	0.000151127760113844	9.69562028874413e-05	KLRD1/FCGR1A/KLRC1/VSIG4/KLRC4/KLRC3/CLC	7
BP	GO:0002715	regulation of natural killer cell mediated immunity	4/27	51/18903	7.87744654685909e-07	0.000151127760113844	9.69562028874413e-05	KLRD1/KLRC1/KLRC4/KLRC3	4
BP	GO:0045088	regulation of innate immune response	6/27	240/18903	9.31620636658249e-07	0.000151127760113844	9.69562028874413e-05	PPARG/KLRD1/KLRC1/VSIG4/KLRC4/KLRC3	6
BP	GO:0002703	regulation of leukocyte mediated immunity	6/27	241/18903	9.54491116508489e-07	0.000151127760113844	9.69562028874413e-05	KLRD1/FCGR1A/KLRC1/KLRC4/KLRC3/CLC	6
BP	GO:0001909	leukocyte mediated cytotoxicity	5/27	134/18903	1.18282242549217e-06	0.000160525900602508	0.000102985591633077	KLRD1/FCGR1A/KLRC1/KLRC4/KLRC3	5
BP	GO:0042267	natural killer cell mediated cytotoxicity	4/27	74/18903	3.54667898008084e-06	0.000303937746338295	0.0001949916400331	KLRD1/KLRC1/KLRC4/KLRC3	4
BP	GO:0002223	stimulatory C-type lectin receptor signaling pathway	3/27	22/18903	3.93019114138324e-06	0.000303937746338295	0.0001949916400331	KLRD1/KLRC4/KLRC3	3
BP	GO:1990840	response to lectin	3/27	22/18903	3.93019114138324e-06	0.000303937746338295	0.0001949916400331	KLRD1/KLRC4/KLRC3	3
