ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
KEGG_LYSOSOME	KEGG_LYSOSOME	119	-0.594859333275249	-2.51107791725913	1e-10	1.84e-08	1.38947368421053e-08	2111	tags=46%, list=12%, signal=41%	NAPSA/AP1M1/CLTA/HEXB/SMPD1/PSAP/GLA/ARSB/CLN3/CTSL/LAMP1/GLB1/CTSK/ARSA/GGA3/IDUA/GALNS/CTSZ/NAGPA/AP3D1/GGA1/GNS/DNASE2/TCIRG1/TPP1/ACP2/AP1B1/NPC2/AP1S1/SORT1/ATP6V0C/GNPTG/LIPA/NAGA/GBA/MAN2B1/ATP6V0B/CLTB/CTSA/ATP6AP1/GAA/CD68/PLA2G15/CTSH/FUCA1/CLTCL1/ATP6V0D1/MCOLN1/NEU1/CD63/ATP6V0A1/CTSB/GM2A/CTSD/SLC11A1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	93	-0.479347000017947	-1.95394383655505	1.5648041107651e-05	0.00143961978190389	0.00108712706642628	2852	tags=44%, list=17%, signal=37%	ARPC1A/PRKCA/PIK3R5/DNM1/PLPP3/PIP4K2B/RAF1/GSN/CFL1/PAK1/FCGR2B/SPHK2/VAV2/PIK3CD/LIMK1/ASAP1/VAV1/WASF2/AKT1/RPS6KB2/PLD1/PIP5K1C/PIK3R2/DNM2/PRKCD/PLA2G4A/MAPK3/SPHK1/LIMK2/NCF1/VASP/SYK/PLD2/AMPH/WASF1/ARPC1B/HCK/GAB2/WAS/FCGR2A/FCGR1A
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	61	-0.523265808623241	-1.97274770887834	7.46267677071674e-05	0.00314903898871464	0.00237799282900648	2053	tags=30%, list=12%, signal=26%	HK1/PGK1/PGAM2/PFKL/GAPDH/PCK2/TPI1/ALDOA/ENO1/HK2/ALDH3B1/AKR1A1/ALDH2/PGAM1/ACSS2/PKM/FBP1/HK3
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	55	-0.524975894587864	-1.94857849190181	8.55717116498545e-05	0.00314903898871464	0.00237799282900648	937	tags=33%, list=5%, signal=31%	MAPK3/PTPN6/MYD88/TLR2/NCF1/IFNGR2/NCF2/IL10/PTGS2/CYBA/TLR4/ITGAM/FOS/FCGR2A/IL1B/NCF4/CR1/FCGR1A
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	148	-0.404271559271312	-1.76533759648021	5.91987783737122e-05	0.00314903898871464	0.00237799282900648	2998	tags=34%, list=18%, signal=28%	COX4I2/NDUFS3/POLR2I/TAF4/NDUFS8/NDUFB8/COX6B2/COX5A/UQCR11/UQCR10/DCTN2/NDUFA7/CASP9/BBC3/SP1/NDUFV3/CLTA/AP2A2/DCTN1/NDUFC2/RCOR1/AP2A1/GNAQ/NDUFA3/PLCB2/SOD2/POLR2L/COX6A1/SDHB/NDUFB7/TGM2/NDUFS7/GPX1/CYC1/PLCB3/COX6B1/NDUFB3/COX8A/NDUFB10/AP2S1/COX5B/CLTB/AP2M1/UQCRC1/CLTCL1/HIP1/DLG4/BAX/CREB5/PPARG
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	66	-0.500983082379547	-1.92052852973744	0.000113202681592142	0.00347154890215901	0.00262153578423907	982	tags=18%, list=6%, signal=17%	C1QA/F13A1/PLAUR/SERPINA1/C1QB/C5AR1/C1QC/CFD/C3AR1/F5/THBD/CR1
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM	47	-0.524756201946683	-1.86481283452258	0.000302444840689779	0.00695623133586492	0.00525298933829617	2176	tags=34%, list=13%, signal=30%	SRM/GSS/MGST2/MGST3/GSTM1/GPX3/GPX4/OPLAH/GGT1/GPX1/GSTP1/IDH1/G6PD/MGST1/ANPEP/PGD
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	94	-0.430979651771461	-1.76325661625727	0.000271416172353435	0.00695623133586492	0.00525298933829617	2998	tags=37%, list=18%, signal=31%	COX4I2/NDUFS3/ATP6V1E1/NDUFS8/NDUFB8/COX6B2/COX5A/NDUFA11/UQCR11/UQCR10/COX17/NDUFA7/LHPP/NDUFV3/NDUFC2/ATP6V1A/NDUFA3/COX6A1/SDHB/NDUFB7/NDUFS7/CYC1/TCIRG1/COX6B1/NDUFB3/COX8A/NDUFB10/ATP6V0C/ATP6V1F/COX5B/ATP6V0B/ATP6AP1/UQCRC1/ATP6V0D1/ATP6V0A1
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	67	-0.470174597593494	-1.80972146575017	0.000373437718958033	0.00711170503396033	0.00537039510573664	5404	tags=58%, list=32%, signal=40%	ANGPTL4/FADS2/ACSL4/NR1H3/ACOX3/ADIPOQ/PCK1/SCD/MMP1/CYP8B1/UCP1/SLC27A5/LPL/RXRB/APOA1/APOA5/UBC/DBI/ACOX2/APOC3/CPT2/APOA2/PLTP/ACOX1/ILK/ME1/SLC27A4/CYP7A1/CPT1A/PPARD/ACAA1/PCK2/GK/SLC27A1/CD36/RXRA/CYP27A1/ACSL1/PPARG
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	122	0.415456348982545	1.70003553125457	0.000386505708367409	0.00711170503396033	0.00537039510573664	2157	tags=28%, list=13%, signal=25%	TFDP2/ANAPC1/ATM/STAG1/RBL1/DBF4/CDC14A/WEE1/MAD2L1/SKP1/MCM6/CCNH/SMAD2/BUB3/CCND2/RBL2/ORC4/ATR/SMC3/CDC7/RAD21/E2F5/CDK6/ORC5/ORC2/STAG2/CDC23/PRKDC/CDC14B/CCNE2/ANAPC10/YWHAZ/ORC3/YWHAQ
