id	logFC	AveExpr	t	P.Value	adj.P.Val	B
AKT1	1	8.780919108	11.22680965	5.98E-22	3.24E-18	39.19070954
BCL2	1	10.18202255	10.70292452	1.64E-20	5.16E-17	35.96559718
CCL2	1	8.634884586	10.55466362	4.16E-20	1.05E-16	35.05672333
CDKN1A	1	11.17806331	10.54725129	4.36E-20	1.05E-16	35.01133638
COL1A1	1	9.630924459	10.22927036	3.20E-19	4.62E-16	33.06949614
COL3A1	1	8.762581592	9.938874385	1.95E-18	2.01E-15	31.30619846
CRP	1	9.80902242	-9.298759133	1.01E-16	4.65E-14	27.46202317
CYP19A1	1	8.699090382	9.007712998	5.92E-16	1.78E-13	25.73767317
EGF	1	9.816618344	8.610914107	6.43E-15	1.14E-12	23.41527195
EGFR	1	7.741860764	8.320409635	3.60E-14	4.31E-12	21.73861203
ESR1	1	9.682154522	8.286803179	4.39E-14	4.95E-12	21.54605477
ESR2	1	6.075551656	8.284909045	4.43E-14	4.98E-12	21.53521082
FOS	1	9.327259618	8.037823816	1.88E-13	1.52E-11	20.12914331
HK2	1	8.224792548	8.013533183	2.17E-13	1.69E-11	19.99185346
IFNG	1	8.792869682	7.919534366	3.74E-13	2.69E-11	19.46222288
IGF2	1	9.298291975	7.847457087	5.66E-13	3.24E-18	19.05791802
IL10	1	9.851486943	-7.82060242	6.61E-13	5.16E-17	18.90769147
IL1A	1	10.37382344	7.523443194	3.60E-12	1.05E-16	17.26084705
IL1B	1	9.724787962	7.184108273	2.40E-11	1.05E-16	15.41738352
IL-2	1	8.78272758	7.139135985	3.08E-11	4.62E-16	15.17623839
IL-4	1	7.806661274	-7.113093061	3.56E-11	2.01E-15	15.03694649
IL-6	1	6.877949299	7.027410748	5.70E-11	4.65E-14	14.58052059
JUN	1	7.018273376	7.002321877	6.54E-11	1.78E-13	14.44741715
MAPK1	1	7.623180318	6.991948793	6.92E-11	1.14E-12	14.39245783
MMP1	1	7.922906178	6.916583173	1.04E-10	4.31E-12	13.99444208
MMP3	1	7.562461019	6.911869541	1.07E-10	4.95E-12	13.96962479
MMP9	1	7.438345732	-6.882459621	1.25E-10	4.98E-12	13.81498558
MPO	1	8.988522293	6.68437341	3.64E-10	1.52E-11	12.78278816
MYC	1	9.3871	-6.58417804	6.21E-10	1.69E-11	12.26706467
NR1I2	1	6.126975669	-6.362742763	1.98E-09	2.69E-11	11.1431764
PCNA	1	7.126064076	6.200565223	4.58E-09	3.24E-18	10.33447605
PGR	1	8.202059045	6.065461633	9.12E-09	5.16E-17	9.67048298
PLAT	1	7.235737389	6.025168822	1.12E-08	1.05E-16	9.474208231
PLAU	1	7.627867006	-6.01538592	1.17E-08	1.05E-16	9.426676832
PPARG	1	9.475455032	-5.956181878	1.58E-08	4.62E-16	9.140062283
PTGS1	1	6.435997643	-5.689862319	5.89E-08	2.01E-15	7.87330395
PTGS2	1	8.016021465	-5.431780289	2.03E-07	4.65E-14	6.682409379
RB1	1	7.333820892	-4.260793967	3.46E-05	1.78E-13	1.787128229
RUNX2	1	9.332185032	3.155362452	0.001914651	1.14E-12	-1.949460434
SPP1	1	9.781096656	1.086691776	5.98E-22	4.31E-12	-2.519684933
STAT1	1	10.58173282	2.549491422	1.64E-20	4.95E-12	-4.809124449
TGFB1	1	11.38236897	4.012291068	4.16E-20	4.98E-12	-7.098563965
THBD	1	12.18300513	5.475090715	4.36E-20	1.52E-11	-9.388003481
TNF	1	12.98364129	6.937890361	3.20E-19	1.69E-11	-11.677443
TP53	1	13.78427745	8.400690008	1.95E-18	2.69E-11	-13.96688251
VCAM1	1	14.58491361	9.863489654	1.01E-16	3.24E-18	-16.25632203
VEGFA	1	15.38554977	11.3262893	5.92E-16	5.16E-17	-18.54576155
