id	logFC	AveExpr	t	P.Value	adj.P.Val	B
ASGR2	0.819185135135138	8.78091910828025	11.22680964889	5.98124712974198e-22	3.2419854754984e-18	39.1907095352846
AQP9	1.0468898119859	10.1820225477707	10.7029245207588	1.63717452943943e-20	5.16493528151443e-17	35.9655971762459
SOCS3	1.22801491774383	8.63488458598726	10.5546636166287	4.16004687968351e-20	1.04992815873185e-16	35.05672333111
S100A9	0.741908707403054	11.1780633121019	10.5472512878736	4.35835682329537e-20	1.04992815873185e-16	35.0113363833024
STAB1	0.850891882099491	9.63092445859873	10.2292703630828	3.19593509166176e-19	4.6194045814879e-16	33.0694961357158
ECRP	1.05188564825696	8.76258159235669	9.93887438454671	1.9512932779566e-18	2.01457093139891e-15	31.3061984612914
MYBL1	-0.765246124167641	9.80902242038217	-9.29875913272873	1.00819896600155e-16	4.65080037912333e-14	27.4620231704207
DYSF	0.826252244418329	8.69909038216561	9.00771299816927	5.91927030274465e-16	1.78244026991398e-13	25.7376731691125
CYP1B1	0.806255998824907	9.81661834394905	8.61091410749253	6.42662068346634e-15	1.14209477900192e-12	23.4152719471848
RNASE1	0.824865121425773	7.74186076433121	8.32040963536024	3.59816272678633e-14	4.31004232483174e-12	21.7386120302147
RNASE2	0.822944680767721	9.68215452229299	8.28680317862223	4.3855119556159e-14	4.95220232863064e-12	21.5460547667788
PPARG	0.764755000000005	6.07555165605096	8.28490904532944	4.43465846438501e-14	4.98175285835914e-12	21.5352108172338
FCGR1A.2	0.790064600470032	9.32725961783439	8.03782381560806	1.88178266233743e-13	1.52234813067678e-11	20.129143311362
TCN2	0.767910405405406	8.2247925477707	8.01353318261963	2.16708995853597e-13	1.69009630902944e-11	19.9918534587537
MERTK	0.790922256169216	8.79286968152866	7.91953436603638	3.73609236918693e-13	2.69152514132673e-11	19.4622228804389
FCGR1A.1	0.779132358010184	9.29829197452229	7.84745708730225	5.66266868559132e-13	3.73339230161611e-11	19.0579180186561
KLRD1	-0.707278562475517	9.85148694267516	-7.82060241967551	6.60899876919886e-13	4.23934030517753e-11	18.9076914702272
MIR21	0.785353241284769	10.3738234394904	7.52344319446119	3.59904879661751e-12	1.65319866439543e-10	17.2608470544088
FCGR1A	0.76153198198198	9.72478796178344	7.18410827331112	2.40388843828075e-11	7.58641997530786e-10	15.4173835163264
CD163	0.734217869173522	8.78272757961783	7.13913598487121	3.08226252594261e-11	9.4254631629001e-10	15.1762383939251
DTHD1	-0.728516018409714	7.80666127388535	-7.11309306125331	3.55824475016007e-11	1.05813484180077e-09	15.0369464855175
FAM20A	0.974110213474344	6.87794929936306	7.02741074808975	5.69690230519642e-11	1.56347517568308e-09	14.5805205873017
HP	1.1400830591461	7.01827337579618	7.00232187729066	6.5352179904491e-11	1.76595445916569e-09	14.4474171490451
NRG1	0.82866065609088	7.62318031847134	6.99194879302163	6.91639668538673e-11	1.835427130182e-09	14.392457826241
SERPINB2	0.707497291421858	7.92290617834395	6.91658317261654	1.04281758152608e-10	2.56051279559081e-09	13.994442075338
VSIG4	0.765167969056011	7.56246101910828	6.91186954116209	1.06986614833815e-10	2.61508094274177e-09	13.9696247941385
KLRA1P	-0.725009958871916	7.43834573248408	-6.88245962105692	1.25496417970955e-10	2.98670454229228e-09	13.8149855848142
CES1	0.893395047003532	8.98852229299363	6.68437340984377	3.64290916926585e-10	7.44410119687585e-09	12.782788156472
KLRC4	-0.762879481002745	9.3871	-6.58417804023354	6.20659365396918e-10	1.16810032128217e-08	12.2670646704382
SNORD20	-0.846909510379945	6.12697566878981	-6.36274276281804	1.98411464150299e-09	3.13539282379201e-08	11.1431763955254
NRG1.1	0.833494351743045	7.12606407643312	6.20056522337223	4.58286014084636e-09	6.46460577187313e-08	10.334476048783
SLED1	0.744910761848802	8.20205904458599	6.06546163316671	9.11864442228943e-09	1.15479748668024e-07	9.67048297995452
FMN1.1	0.738947892675282	7.23573738853503	6.02516882175022	1.11764809128676e-08	1.36747902185036e-07	9.47420823143231
SNORD45B	-0.86812444966706	7.62786700636943	-6.01538591980301	1.17411415937737e-08	1.42450862280138e-07	9.42667683221092
KLRC4-KLRK1	-0.808087810419115	9.47545503184713	-5.95618187815761	1.58057674388332e-08	1.84835406602665e-07	9.14006228310009
KLRC2	-0.804409714061888	6.4359976433121	-5.68986231916462	5.89012630218526e-08	5.83122503916341e-07	7.87330395016262
KLRC3	-0.704266227967098	8.01602146496815	-5.43178028901348	2.03426013973688e-07	1.73208156686937e-06	6.68240937876962
CLC	-0.793395440658052	7.33382089171975	-4.26079396713027	3.46244151936388e-05	0.00015098389899704	1.78712822916663
TMEM176A	0.71851703290247	9.33218503184713	3.15536245237777	0.00191465066530954	0.00485742348169625	-1.94946043350061
