variable	value
1	VSIG4	0.86427732079906
2	TCN2	0.884645515080298
3	STAB1	0.907755581668625
4	SOCS3	0.915001958480219
5	S100A9	0.905797101449275
6	RNASE2	0.853897375636506
7	RNASE1	0.901782216999608
8	PPARG	0.913239326282805
9	KLRD1	0.848021934978457
10	KLRC2	0.762387387387387
11	HP	0.818546807677242
12	FCGR1A	0.811985898942421
13	FAM20A	0.86741088915002
14	DYSF	0.867117117117117
15	DTHD1	0.824618096357227
16	CYP1B1	0.858206032119076
17	CLC	0.705640423031727
18	ASGR2	0.929103016059538
19	AQP9	0.905013709361535
