id	B cells naive 	B cells memory 	Plasma cells 	T cells CD8 ***	T cells CD4 naive *	T cells CD4 memory resting 	T cells CD4 memory activated 	T cells follicular helper 	T cells regulatory (Tregs) **	T cells gamma delta 	NK cells resting ***	NK cells activated 	Monocytes ***	Macrophages M0 ***	Macrophages M1 	Macrophages M2 ***	Dendritic cells resting 	Dendritic cells activated 	Mast cells resting 	Mast cells activated 	Eosinophils ***	Neutrophils ***
GSM1620759_con	0.078926104	0	0	0.224425519	0	0.08757883	0	0	0.013876886	0	0.195425923	0	0.345844284	0	0	0.018377608	0	0.000164735	0.021580042	0	0.013800069	0
GSM1620760_con	0.010942423	0.025090203	0.002570971	0.183773787	0.044044093	0.15081883	0	0	0	0	0.162138805	0	0.393283708	0.000258781	0	0.002789076	0	0.003601088	0.011828765	0	0	0.008859471
GSM1620761_con	0.032287217	0	0.006294852	0.216689484	0	0.045915327	0	0	0	0	0.196249778	0	0.45516275	0	0	0	0	0.008663414	0	0.000229035	0	0.038508142
GSM1620762_con	0.016132594	0.003737709	0.000835419	0.202878902	0.01102098	0.072876888	0	0	0	0	0.260782998	0	0.391110638	0	0	0.011478125	0	0.001858848	0.013879675	0	0	0.013407224
GSM1620763_con	0.038380152	0	0	0.11713454	0.126275948	0.136734658	0	0	0	0	0.151576748	0	0.373255059	0	0	0.006376687	0	0.00222277	0.013555771	0	0	0.034487666
GSM1620764_con	0.056168574	0	0.002100495	0.154300221	0.074729576	0.106788211	0	0	0	0	0.189111872	0	0.373069513	0	0	0.002223062	0	0.001198971	0.015470827	0	0	0.024838677
GSM1620765_con	0.022480483	0	0	0.23732333	0.007238413	0.14815524	0.004054996	0	0	0	0.183062398	0	0.342421273	0	0	0.006799549	0	0.000233273	0.016525602	0	0.002390593	0.029314849
GSM1620766_con	0.042045061	0	0.017560656	0.195291313	0.03077628	0.150601453	0	0	0	0	0.163749928	0	0.339167124	0	0	0.001077646	0	0.005570873	0.011958851	0	0	0.042200814
GSM1620767_con	0.090625225	0	0.001756498	0.132234855	0.099900266	0.244409288	0	0	0	0	0.229948971	0	0.181261621	0	0	0.005353723	0	0.006224069	0.00691216	0	0.001373324	0
GSM1620768_con	0.053917518	0	0.003005543	0.196705651	0.049175837	0.159375971	0	0	0.002265471	0	0.181739464	0	0.309347734	0	0	0.01111226	0	0.003121545	0.016943031	0	0	0.013289976
