id	logFC	AveExpr	t	P.Value	adj.P.Val	B
TNFRSF10D	-0.444290626048724	7.90516461182379	-11.5862580925268	6.15853773199404e-23	1.04990751255034e-18	41.4302631530637
ASGR2	-0.858713790134738	8.7412755090227	-11.3361131248666	3.01211789523723e-22	2.56752929390021e-18	39.8813825821113
EDA2R	-0.454339072177844	6.31283593546696	-11.2244237170366	6.11277748695122e-22	3.33569293696935e-18	39.190749792841
AQP9	-1.07018719961118	10.4810444125372	-11.1614580823934	9.10708514036029e-22	3.33569293696935e-18	38.801698625325
TSPO	-0.647528376255506	10.3267911221613	-11.1501427705707	9.78323831818792e-22	3.33569293696935e-18	38.7318079090347
ACADVL	-0.360871745642386	9.92658464372315	-10.8654332001668	5.91343739211576e-21	1.49570613813304e-17	36.9759635000077
S100A9	-0.741381493946861	11.5729649152791	-10.8594359973949	6.14144941748667e-21	1.49570613813304e-17	36.9390389114643
LRPAP1	-0.43915053980025	10.5476938461919	-10.7242696473707	1.43964604002738e-20	3.06788571129835e-17	36.1075709291576
BAX	-0.396046051435174	9.48771562429254	-10.6541514094203	2.23830623679132e-20	4.23984941386872e-17	35.6768365582709
DENND4A	0.325235235886591	9.78697736329669	10.6090598084566	2.97216144905269e-20	5.06694083834503e-17	35.4000676356727
GBGT1	-0.47148007392842	8.64896972052001	-10.5273485912862	4.96623427657188e-20	7.69676017699977e-17	34.8990049865441
STAB1	-0.826388632277862	9.22156562566731	-10.5061752795643	5.67223199425303e-20	8.05835091983547e-17	34.7692709604671
SOCS3	-1.19813313207939	8.46961583599342	-10.4434382157184	8.40784509240726e-20	1.10259187027199e-16	34.3851242185392
TBC1D2	-0.523117547823034	9.16940744803808	-10.3866795619533	1.1999805691509e-19	1.46123348163462e-16	34.0379271916787
CUEDC2	-0.312411650051246	8.32177413162759	-10.3013061187263	2.04769390239957e-19	2.32727237654053e-16	33.5163319857965
CD14	-0.658946267894192	11.7019503335851	-10.2894850509667	2.20482088859446e-19	2.3492366567974e-16	33.4441729030495
TRIM33	0.293075331594411	10.1487350845514	10.268817535695	2.50895959376871e-19	2.51604371497464e-16	33.3180500867776
BLVRB	-0.643236941969787	8.74503058692787	-10.1594272592134	4.96787328091581e-19	4.68867538445474e-16	32.6513152423763
ALOX5	-0.352274934901075	10.3640631332059	-10.1513211431054	5.22552981608635e-19	4.68867538445474e-16	32.6019644520938
SHKBP1	-0.490822373722915	10.1619695165003	-10.1344609002884	5.80489357071227e-19	4.85114065827004e-16	32.4993431378536
ARAP2	0.480717434883299	8.94564175400586	10.1298093583387	5.97571291785963e-19	4.85114065827004e-16	32.4710372037881
ODF2L	0.65638859154161	7.49990817237049	10.0612530609912	9.15989227435891e-19	7.09808379514867e-16	32.054162791341
MCEMP1	-0.861552973538844	8.23959949307052	-10.0402203657968	1.04411635046161e-18	7.73917197507371e-16	31.9263863647691
FCN1	-0.495040875593558	11.6523783721869	-10.0127338681828	1.23884412483222e-18	8.79992276672489e-16	31.7594877836982
RASA2	0.432435537561149	9.38219773192315	10.0051652530768	1.29855188931903e-18	8.8550850436443e-16	31.7135481890827
COMT	-0.352869904056709	9.24560360932798	-9.88062740514411	2.81418128737081e-18	1.74819490021988e-15	30.9587313513146
PKM	-0.407959059519088	10.0445947670839	-9.87751460618206	2.86903447288078e-18	1.74819490021988e-15	30.939891969045
GNA15	-0.493340607624331	8.65703085646279	-9.87738885348069	2.87127271270276e-18	1.74819490021988e-15	30.9391309128956
FAM129B	-0.493750503825123	7.978316202773	-9.77745063405407	5.33233734570342e-18	3.1346788644673e-15	30.3350139655988
LTBR	-0.500847088236529	8.67263767162075	-9.74346094039249	6.57974008512671e-18	3.73904696570801e-15	30.1298799474514
AIDA.1	0.321590481578146	7.42039952038424	9.7102233571134	8.07992019037337e-18	4.44343481953178e-15	29.9294517535947
NCF4	-0.556734454684928	9.31441568714874	-9.6212969404461	1.39859814581066e-17	7.45103162180628e-15	29.3940417596089
CDK13	0.197688415405016	10.185361007466	9.60933364970106	1.50559622716273e-17	7.77800135777884e-15	29.3221072730135
TWF2	-0.306014961257036	9.94709499901405	-9.59738883620757	1.6205586466517e-17	8.12567170827006e-15	29.2503066094514
H2AFY	-0.310469082405463	9.82629708034084	-9.5842493424149	1.7571371794949e-17	8.55876418172259e-15	29.1713510582394
C5orf42	0.379868641291913	6.87146785755617	9.57743265853663	1.83244854272485e-17	8.67766187677033e-15	29.1304003718807
